PAIS;AÑO;POBLACION;GDP USD;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_% ;energy_cons_change_twh;energy_per_capita;fossil_cons_change_% ;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;greenhouse_gas_emissions;hydro_cons_change_% %;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_%;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec %;low_carbon_share_energy %;net_elec_imports_Trw;net_elec_imports_share_demand %;renewables_cons_change_% %;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec %;renewables_share_energy %;solar_cons_change_% %;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_% %;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec %;wind_share_energy %
Chile;2019;19039484;;77.39;77.39;16.328;1.217;5.701;24894.514;2.382;8.439;2371.913;45.16;19053.412;362.767;58.354;76.537;32.88;-8.244;-5.306;56.516;1094.042;20.83;2968.364;26.916;11.924;-1.609;-2.738;111.212;1692.798;32.23;5841.104;41.646;23.463;0;0;-1.609;-2.738;111.212;1692.798;32.23;5841.104;41.646;23.463;23.082;3.064;16.607;335.093;6.38;872.252;8.244;3.504;36.437;3.411;12.904;253.158;4.82;677.732;6.228;2.722
Chile;2020;19300318;;77.75;77.75;17.572;-6.646;-31.501;22925.926;-9.568;-34.711;2263.693;43.69;16997.432;328.056;56.193;74.141;31.85;1.309;0.529;57.045;1068.894;20.63;2955.674;26.534;12.892;3.754;3.21;114.422;1764.738;34.06;5928.491;43.807;25.859;0;0;3.754;3.21;114.422;1764.738;34.06;5928.491;43.807;25.859;20.866;3.392;19.999;395.848;7.64;1036.189;9.826;4.52;14.444;1.81;14.713;287.042;5.54;762.333;7.125;3.325
Chile;2021;19493184;;81.51;81.51;17.093;7.77;34.379;24462.756;9.955;32.659;2395.709;46.7;18504.689;360.715;57.294;75.644;33.98;-16.798;-9.756;47.289;845.424;16.48;2425.94;20.218;9.917;2.219;1.72;116.142;1785.752;34.81;5958.066;42.706;24.356;0;0;2.219;1.72;116.142;1785.752;34.81;5958.066;42.706;24.356;41.174;8.131;28.13;553.527;10.79;1443.058;13.238;5.899;36.16;5.247;19.96;369.873;7.21;1023.961;8.846;4.186
Chile;2022;19603736;;83.22;83.22;16.751;4.185;19.955;25342.707;-0.992;-3.579;1997.068;39.15;18217.781;357.137;47.044;71.886;27.68;23.105;10.714;58.003;1033.987;20.27;2958.779;24.357;11.675;21.559;23.533;139.675;2248.041;44.07;7124.925;52.956;28.114;0;0;21.559;23.533;139.675;2248.041;44.07;7124.925;52.956;28.114;34.478;9.561;37.69;740.675;14.52;1922.614;17.448;7.586;22.778;4.457;24.417;449.914;8.82;1245.55;10.598;4.915
Colombia;2010;44816104;4.92E+11;55.83;56.62;13.335;5.156;20.819;9474.296;7.242;20.471;356.122;15.96;6764.048;303.138;28.188;71.394;10.43;-0.685;-1.477;112.57;892.536;40;2511.83;70.646;26.512;2.951;0.348;121.463;907.263;40.66;2710.248;71.812;28.606;-0.79;-1.415;2.951;0.348;121.463;907.263;40.66;2710.248;71.812;28.606;;0;0;0.223;0.01;0;0.018;0;-33.163;-0.054;0.107;0.893;0.04;2.389;0.071;0.025
Colombia;2011;45308896;5.24E+11;57.39;58.92;13.276;4.521;19.196;9794.911;-1.391;-4.215;223.135;10.11;6597.447;298.923;17.159;67.356;7.04;19.405;21.024;133.595;1068.002;48.39;2948.531;82.128;30.103;20.585;23.411;144.874;1077.272;48.81;3197.464;82.841;32.644;-1.53;-2.666;20.585;23.411;144.874;1077.272;48.81;3197.464;82.841;32.644;;0;0;0.221;0.01;0;0.017;0;7.006;0.007;0.114;0.883;0.04;2.513;0.068;0.026
Colombia;2012;45782420;5.45E+11;59.83;60.54;12.828;6.34;28.136;10308.172;10.171;30.404;283.078;12.96;7193.312;329.327;21.407;69.783;8.9;-1.746;-3.129;130.466;1028.998;47.11;2849.696;77.816;27.645;-0.392;-2.268;142.606;1039.264;47.58;3114.861;78.593;30.217;-0.71;-1.187;-0.392;-2.268;142.606;1039.264;47.58;3114.861;78.593;30.217;;0;0;0.218;0.01;0;0.017;0;32.91;0.037;0.15;1.092;0.05;3.285;0.083;0.032
Colombia;2013;46237928;5.72E+11;70.84;72.19;14.883;2.777;13.107;10490.081;6.906;22.743;469.528;21.71;7614.319;352.07;30.073;72.586;14.35;-6.765;-9.559;120.907;1076.173;49.76;2614.891;68.929;24.927;-5.349;-9.637;132.969;1091.744;50.48;2875.762;69.927;27.414;-1.35;-1.906;-5.349;-9.637;132.969;1091.744;50.48;2875.762;69.927;27.414;;0;0;0.216;0.01;0;0.014;0;5.05;0.007;0.157;1.298;0.06;3.397;0.083;0.032
Colombia;2014;46677944;5.97E+11;68.25;69.05;13.524;5.267;25.546;10938.481;6.732;23.703;449.677;20.99;8050.34;375.773;30.398;73.597;13.86;0.855;0.303;121.21;1012.255;47.25;2596.737;68.429;23.739;1.986;1.843;134.813;1029.608;48.06;2888.142;69.602;26.403;-0.8;-1.172;1.986;1.843;134.813;1029.608;48.06;2888.142;69.602;26.403;;0;0;0.214;0.01;0;0.014;0;21.875;0.033;0.19;1.5;0.07;4.076;0.101;0.037
Colombia;2015;47119728;6.15E+11;75.81;76.22;15.767;-5.324;-27.183;10259.04;-7.101;-26.684;577.677;27.22;7408.554;349.089;35.712;72.215;17.93;-0.134;-0.883;120.327;1017.408;47.94;2553.646;62.897;24.892;0.226;-0.498;134.314;1039.904;49;2850.486;64.288;27.785;-0.41;-0.541;0.226;-0.498;134.314;1039.904;49;2850.486;64.288;27.785;;0;0;0.212;0.01;0;0.013;0;-2.638;-0.006;0.184;1.486;0.07;3.908;0.092;0.038
Colombia;2016;47625960;6.27E+11;74.89;74.56;13.69;12.663;61.214;11435.303;16.011;55.891;525.344;25.02;8503.356;404.981;33.557;74.361;16.59;4.713;4.926;125.253;1017.512;48.46;2629.932;64.995;22.998;3.956;5.323;139.637;1040.189;49.54;2931.946;66.443;25.639;0.33;0.441;3.956;5.323;139.637;1040.189;49.54;2931.946;66.443;25.639;;0;0;0.21;0.01;0;0.013;0;-25.579;-0.048;0.136;1.05;0.05;2.86;0.067;0.025
